target,audspecRasta_lengthL1norm_sma_upleveltime25,pcm_fftMag_psySharpness_sma_leftctime,mfcc_sma[5]_upleveltime75,mfcc_sma[10]_percentile1.0,mfcc_sma[12]_skewness,pcm_fftMag_fband1000-4000_sma_de_quartile2,audSpec_Rfilt_sma[12]_peakMeanRel,audSpec_Rfilt_sma[22]_meanFallingSlope,pcm_fftMag_spectralSlope_sma_qregc3,mfcc_sma[5]_qregc2,audSpec_Rfilt_sma_de[5]_peakDistStddev,audSpec_Rfilt_sma_de[11]_peakMeanRel,audSpec_Rfilt_sma_de[20]_stddevFallingSlope,mfcc_sma_de[2]_meanFallingSlope,mfcc_sma_de[5]_minRangeRel
1,0.001019022,0.50758433,0.01641014,-19.178547,-0.0759707,-4.04E-07,19.160261,0.75007445,0.9868319,0.001507664,0.049999997,20,99.24,59.361286,0.6731036
1,0.10387469,0.49986267,0.30194893,-33.742714,-0.47545743,-1.04E-06,3.125444,15.864707,0.98536223,-0.005638612,0.43674648,-20,20.801155,113.625,0.7436525
1,0.11946989,0.5084746,0.16533592,-28.113712,-0.70023596,-3.35E-06,1.8688875,11.981359,0.9355071,0.008749946,1.9650234,-19.999989,8.130483,60.902523,0.618399
1,0.001764446,0.500838,0.005732428,-23.278671,-0.85147357,-8.46E-09,4.0376806,17.757084,0.97705734,0.001116348,3.7295141,-20,37.781128,71.38264,0.6216942
1,0.15575808,0.5045542,0.0982069,-24.70334,-0.36536726,-2.22E-07,2.629854,29.585655,0.91341734,0.002749866,0.59761655,20,21.028788,100.29003,0.5964423
1,0.091075234,0.5068521,0.017050644,-28.470123,-1.4794682,-1.76E-07,2.5065684,12.514821,0.95080334,0.00116383,2.7056758,-20,9.689312,55.330627,0.59254664
1,0.14419852,0.49184358,0.04042886,-20.752476,-0.06770457,-1.39E-07,2.3607187,13.943031,0.97895944,0.003628229,0.40777153,-20,10.269652,94.76791,0.6906138
1,0.15895732,0.506258,0.109012,-22.541195,-0.770808,-1.69E-08,1.5367404,3.792507,0.9149215,0.002907526,0.813666,-20,5.80675,58.766388,0.6454841
1,0.79278034,0.5102887,0.16548972,-30.19217,-1.2762332,-6.23E-08,2.1478739,21.951618,0.95120597,0.000702405,1.3050071,-20,7.734695,68.33655,0.6178659
1,0.011673477,0.5015423,0.014253563,-19.951473,-0.30348238,-4.84E-07,2.2665772,12.837963,1.0019575,-0.00100551,3.6632373,-20,13.494106,56.744415,0.64795154
1,0.1563412,0.5123802,0.058597982,-25.625687,-0.41738647,-5.11E-08,1.4984442,5.7958484,0.9455039,0.001490542,0.5481597,20,6.526527,61.783436,0.5980698
1,0.16558704,0.5103197,0.017192557,-36.92253,0.08745933,-9.36E-05,2.50139,11.654469,0.91885805,-0.003029961,0.39354372,-20,19.609339,94.78593,0.5780865
